date,bookings,adr,promo_flag,event_flag,weekend_flag
2023-01-01,118,176.9,0,0,1
2023-01-02,136,162.57,0,0,0
2023-01-03,115,165.93,0,0,0
2023-01-04,103,169.63,0,0,0
2023-01-05,95,162.81,0,0,0
2023-01-06,86,163.01,0,0,0
2023-01-07,95,182.45,0,0,1
2023-01-08,120,179.4,0,0,1
2023-01-09,134,162.63,0,0,0
2023-01-10,109,166.86,0,0,0
2023-01-11,108,163.01,0,0,0
2023-01-12,85,163.18,0,0,0
2023-01-13,98,166.18,0,0,0
2023-01-14,93,169.72,0,0,1
2023-01-15,119,170.63,0,0,1
2023-01-16,130,163.44,0,0,0
2023-01-17,141,161.78,0,0,0
2023-01-18,108,167.24,0,0,0
2023-01-19,90,162.49,0,0,0
2023-01-20,111,160.61,0,0,0
2023-01-21,91,184.25,0,0,1
2023-01-22,103,177.61,0,0,1
2023-01-23,133,166.9,0,0,0
2023-01-24,124,161.05,0,0,0
2023-01-25,103,164.68,0,0,0
2023-01-26,104,167.41,0,0,0
2023-01-27,97,162.46,0,0,0
2023-01-28,105,180.66,0,0,1
2023-01-29,117,176.85,0,0,1
2023-01-30,141,166.17,0,0,0
2023-01-31,137,165.01,0,0,0
2023-02-01,111,174.9,0,0,0
2023-02-02,119,167.51,0,0,0
2023-02-03,87,163.4,0,0,0
2023-02-04,98,182.98,0,0,1
2023-02-05,127,174.86,0,0,1
2023-02-06,134,168.63,0,0,0
2023-02-07,139,160.0,0,0,0
2023-02-08,119,162.56,0,0,0
2023-02-09,107,168.7,0,0,0
2023-02-10,86,170.89,0,0,0
2023-02-11,132,180.65,0,0,1
2023-02-12,135,179.52,0,0,1
2023-02-13,150,166.79,0,0,0
2023-02-14,143,162.08,0,0,0
2023-02-15,128,165.12,0,0,0
2023-02-16,114,166.15,0,0,0
2023-02-17,106,172.22,0,0,0
2023-02-18,127,181.35,0,0,1
2023-02-19,155,172.9,0,0,1
2023-02-20,143,169.22,0,0,0
